group,raw_importance,feature_count,features_used,normalized_importance,allow_overlap
target_absolute,0.048434793879053854,2,"target_x_norm,target_y_norm",0.004049207337236061,True
uav_absolute,0.9363628771271666,4,"uav1_x_norm,uav1_y_norm,uav2_x_norm,uav2_y_norm",0.0782810688086458,True
velocity,0.015202328993779633,4,"uav1_vx_norm,uav1_vy_norm,uav2_vx_norm,uav2_vy_norm",0.0012709330870366343,True
inter_uav_coordination,3.186450457563521,0,trajectory:inter_uav_coordination,0.2663911114130968,True
target_relative,7.775099012539643,0,trajectory:target_relative,0.6500076793539846,True
