policy_name,scenario_name,seed,success,collision,episode_return,episode_length,final_mean_distance,min_mean_distance,mean_distance_to_target,min_uav_distance,action_switch_count,action_switch_rate
bc,default,42,True,True,-73.64380508022482,117,0.5504420290891259,0.5504420290891259,3.1899062000096086,0.4506613836805447,82,0.7068965517241379
expert_v2,default,42,False,True,-166.94353576820905,200,1.4602322380251336,0.6717830845242503,2.598588394205224,0.14107455403244284,81,0.40703517587939697
ppo_baseline,default,42,True,False,-33.38489043482806,26,0.45309189542870987,0.45309189542870987,6.804786622082318,0.9057847911309206,0,0.0
ppo_finetune,default,42,True,False,-33.38489043482806,26,0.45309189542870987,0.45309189542870987,6.804786622082318,0.9057847911309206,0,0.0
