policy_name,step,action,uav1_action_name,uav2_action_name,reward,cum_reward,distance_uav1_target,distance_uav2_target,distance_uav1_uav2,success,collision,done
bc,0,18,accelerate,accelerate,-2.607270883560753,-2.607270883560753,13.493573954495602,12.579134881111925,4.24275178252312,False,False,False
bc,1,18,accelerate,accelerate,-2.5625751422424004,-5.169846025803153,13.248468219707751,12.377283202716251,4.118553042571235,False,False,False
bc,2,18,accelerate,accelerate,-2.511097763351196,-7.680943789154349,13.01960332066992,12.091374312842037,3.980327525761903,False,False,False
bc,3,18,accelerate,accelerate,-2.4160839288393605,-10.09702771799371,12.576901392000329,11.583937896393275,3.8303982628831945,False,False,False
bc,4,18,accelerate,accelerate,-2.305196756900704,-12.402224474894414,11.998181088604312,11.05378648040273,3.682473799654506,False,False,False
bc,5,18,accelerate,accelerate,-2.1737202838427594,-14.575944758737172,11.307999889226437,10.429202949201153,3.5331997780897497,False,False,False
bc,6,18,accelerate,accelerate,-2.0478649114242313,-16.623809670161403,10.705075234815334,9.773573879426978,3.3806855910796547,False,False,False
bc,7,18,accelerate,accelerate,-1.9127783193624923,-18.536587989523895,10.030134986153296,9.097648207471625,3.2281083258842953,False,False,False
bc,8,18,accelerate,accelerate,-1.7895703077715053,-20.3261582972954,9.470510450139368,8.425192627575683,3.0734026268190697,False,False,False
bc,9,18,accelerate,accelerate,-1.642388717014204,-21.968547014309603,8.723863789324302,7.7000233808177345,2.92151443507436,False,False,False
bc,10,18,accelerate,accelerate,-1.5177861665900085,-23.486333180899614,8.059470285365931,7.118391380534154,2.7654716498482106,False,False,False
bc,11,16,accelerate,turn_left,-1.5360237305113924,-25.022356911411006,7.788957788053113,7.57127951706081,3.018850809635092,False,False,False
bc,12,16,accelerate,turn_left,-1.4413452137227205,-26.463702125133725,7.362332199822985,7.051119937404217,2.680164934914104,False,False,False
bc,13,18,accelerate,accelerate,-1.3510498018018975,-27.81475192693562,6.888647880664654,6.621850137354321,2.496726692451707,False,False,False
bc,14,16,accelerate,turn_left,-1.3074075094120774,-29.122159436347697,6.281586433353718,6.792488660767053,2.8998490840563105,False,False,False
bc,15,16,accelerate,turn_left,-1.248199860063413,-30.37035929641111,5.944872234545198,6.537126366088932,2.5369087186597494,False,False,False
bc,16,18,accelerate,accelerate,-1.1859120804447867,-31.556271376855896,5.636648884257084,6.222471920190782,2.344744015425494,False,False,False
bc,17,18,accelerate,accelerate,-1.110767025373393,-32.66703840222929,5.291148341895447,5.816521911838481,2.1594276154014755,False,False,False
bc,18,16,accelerate,turn_left,-1.0443742188866616,-33.71141262111595,4.626826072237653,5.816916116628962,2.707637271859346,False,False,False
bc,19,16,accelerate,turn_left,-0.9393366475604101,-34.65074926867636,4.097641225775204,5.295725249828896,2.35247785273543,False,False,False
bc,20,17,accelerate,turn_right,-0.9353732697075643,-35.58612253838392,3.562730507240541,5.791002189835102,2.8516218314355406,False,False,False
bc,21,17,accelerate,turn_right,-0.8038592549906174,-36.38998179337454,2.8398875028140003,5.198705047092172,2.6990829804651066,False,False,False
bc,22,17,accelerate,turn_right,-0.796022634564921,-37.18600442793946,2.3188612552952144,5.641365090353995,3.3965182027520795,False,False,False
bc,23,17,accelerate,turn_right,-0.6755519160214667,-37.86155634396093,1.729580347447904,5.025938812766763,3.4038166092862796,False,False,False
bc,24,1,keep,turn_left,-0.658949215277718,-38.52050555923864,1.2594122556361953,5.330079897140984,4.2853710973424874,False,False,False
bc,25,11,turn_right,turn_left,-0.6205024821828157,-39.14100804142146,1.2932358938937438,4.9117889279344125,4.292280911787536,False,False,False
bc,26,11,turn_right,turn_left,-0.7185329121820594,-39.85954095360351,1.6476504901013904,5.537678631719204,4.367436048659267,False,False,False
bc,27,8,turn_left,accelerate,-0.668306702294821,-40.527847655898334,1.7478681369618292,4.935198885986381,3.4227827627152,False,False,False
bc,28,8,turn_left,accelerate,-0.5747052683687853,-41.10255292426712,1.3159292200685464,4.431123463619307,3.3242218722739745,False,False,False
bc,29,1,keep,turn_left,-0.5244969247471148,-41.627049849014234,0.7826827919729287,4.46228645549822,3.901166376989165,False,False,False
bc,30,1,keep,turn_left,-0.4295756162572028,-42.05662546527144,0.17996948867373805,4.11578667389829,3.992324146485912,False,False,False
bc,31,2,keep,turn_right,-0.5080042892171618,-42.5646297544886,0.20175551052405874,4.878287381647558,4.92514174194274,False,False,False
bc,32,3,keep,accelerate,-0.5153861953075944,-43.08001594979619,0.6149765472095964,4.538885405866348,4.8762050374083845,False,False,False
bc,33,8,turn_left,accelerate,-0.4643002137364848,-43.54431616353268,0.8352151819805619,3.8077869553842856,3.941647483011047,False,False,False
bc,34,13,turn_right,accelerate,-0.4283029991200782,-43.972619162652755,0.7232877945885686,3.5597421966122136,3.1270610753246992,False,False,False
bc,35,11,turn_right,turn_left,-0.45882962196005467,-44.43144878461281,0.7972108015302392,3.791085418070307,3.567193644547052,False,False,False
bc,36,6,turn_left,turn_left,-0.45270149359994205,-44.88415027821275,0.961741365051012,3.5652735709484085,3.002314270122875,False,False,False
bc,37,12,turn_right,turn_right,-0.45711828981502595,-45.34126856802778,0.738585781782238,3.8325971163680217,3.128407819615336,False,False,False
bc,38,11,turn_right,turn_left,-0.4100053359129181,-45.7512739039407,0.9338669604747663,3.1661863986544145,2.85782946016938,False,False,False
bc,39,6,turn_left,turn_left,-0.4978649976477574,-46.24913890158846,1.1801643894658123,3.798485587011761,2.7457716797257827,False,False,False
bc,40,11,turn_right,turn_left,-0.4140698627727144,-46.66320876436117,0.9422987135656327,3.1983999141615107,2.792740234357145,False,False,False
bc,41,7,turn_left,turn_right,-0.5330348928790956,-47.19624365724027,1.532498659894136,3.797850268896819,3.0475422409127026,False,False,False
bc,42,2,keep,turn_right,-0.5634182558293546,-47.75966191306962,2.0663672318976722,3.5678153263958734,2.6898430107962326,False,False,False
bc,43,17,accelerate,turn_right,-0.5705565459898271,-48.330218459059445,1.641583229506516,4.063982230391755,3.2892013720111697,False,False,False
bc,44,2,keep,turn_right,-0.5034919728883652,-48.83371043194781,1.1666763416853436,3.868243387198309,3.2614936006559305,False,False,False
bc,45,2,keep,turn_right,-0.5325161423294289,-49.366226574277235,0.901897955995819,4.42326346729847,3.9222076510802735,False,False,False
bc,46,2,keep,turn_right,-0.5288717364877891,-49.89509831076502,0.5072509710274974,4.781466393850393,4.291374769905756,False,False,False
bc,47,12,turn_right,turn_right,-0.5185831720203069,-50.41368148278533,0.7580217918718257,4.427809928331244,3.6745303072088045,False,False,False
bc,48,1,keep,turn_left,-0.6239324790708048,-51.03761396185613,1.414942520349086,4.824382270358962,3.4252169469991918,False,False,False
bc,49,7,turn_left,turn_right,-0.5499350312146123,-51.58754899307074,1.09322541200552,4.406124900140603,3.397502121234123,False,False,False
bc,50,6,turn_left,turn_left,-0.6205249890341702,-52.208073982104914,1.3950237572216853,4.8102261331200165,3.4369826380610506,False,False,False
bc,51,12,turn_right,turn_right,-0.5812901646312378,-52.789364146736155,1.1946413230042252,4.618260323308153,3.4434236328210703,False,False,False
bc,52,8,turn_left,accelerate,-0.5713951297460512,-53.360759276482206,1.6247331915825793,4.089218105877933,2.7274045253349093,False,False,False
bc,53,6,turn_left,turn_left,-0.5708070330257327,-53.931566309507936,1.287726814983212,4.420343515274115,3.3230349395839816,False,False,False
