seed,baseline_mean_return,baseline_std_return,baseline_win_rate,finetune_mean_return,finetune_std_return,finetune_win_rate,delta_return_f_minus_b,delta_win_rate_f_minus_b
42,-15.132161668180833,11.38298587056297,1.0,-16.049743587401153,17.63971473549214,1.0,-0.9175819192203196,0.0
52,-15.132161668180833,11.38298587056297,1.0,-16.11758828337337,17.293022737421047,1.0,-0.9854266151925355,0.0
62,-15.132161668180833,11.38298587056297,1.0,-15.326931677826044,11.441647049136602,1.0,-0.19477000964521096,0.0
72,-15.132161668180833,11.38298587056297,1.0,-15.768635354289156,13.952844025889357,1.0,-0.6364736861083227,0.0
82,-15.2046996030857,11.412758910445296,1.0,-15.974684644745729,13.834971347110061,1.0,-0.7699850416600285,0.0
