method,training_steps,success_rate,mean_return,mean_length,collision_rate
ppo_kl_near_uavs,100000,0.8,-85.68474762996513,,
ppo_kl_near_uavs,120000,0.8,-84.31217207885861,,
ppo_kl_near_uavs,140000,0.8,-76.1287422868534,,
ppo_kl_near_uavs,160000,0.9,-50.05039650682971,,
ppo_kl_near_uavs,180000,0.9,-39.30321480686977,,
ppo_kl_near_uavs,200000,0.9,-42.502398121403594,,
ppo_baseline,20000,0.8,-40.867996550123,54.9,0.5
ppo_baseline,40000,1.0,-15.606138938142067,19.4,0.4
ppo_baseline,60000,1.0,-15.606138938142067,19.4,0.4
ppo_baseline,80000,1.0,-15.606138938142067,19.4,0.4
ppo_baseline,100000,1.0,-15.606138938142067,19.4,0.4
ppo_baseline,120000,1.0,-15.606138938142067,19.4,0.4
ppo_baseline,140000,1.0,-15.606138938142067,19.4,0.4
ppo_baseline,160000,1.0,-15.606138938142067,19.4,0.4
ppo_baseline,180000,1.0,-15.606138938142067,19.4,0.4
ppo_baseline,200000,1.0,-15.606138938142067,19.4,0.4
ppo_kl,20000,0.9,-45.917626004761274,81.2,0.6
ppo_kl,40000,0.8,-62.25020139993511,98.6,0.8
ppo_kl,60000,0.9,-36.11175446026973,67.7,0.8
ppo_kl,80000,1.0,-33.63346300571018,62.7,0.9
ppo_kl,100000,1.0,-28.91067095698869,58.3,0.7
ppo_kl,120000,1.0,-30.866152583935396,45.5,0.6
ppo_kl,140000,1.0,-25.28225544552661,35.3,0.6
ppo_kl,160000,1.0,-26.697490170187734,39.3,0.5
ppo_kl,180000,1.0,-22.50792700462365,29.4,0.7
ppo_kl,200000,1.0,-19.679438383231933,27.8,0.8
ppo_finetune,20000,1.0,-17.839687609038318,26.7,0.6
ppo_finetune,40000,1.0,-16.342406642396462,21.9,0.5
ppo_finetune,60000,1.0,-16.130890826632744,19.7,0.6
ppo_finetune,80000,1.0,-15.866968104259655,19.6,0.4
ppo_finetune,100000,1.0,-15.70903660699049,19.4,0.4
ppo_finetune,120000,1.0,-16.020371819824824,19.7,0.4
ppo_finetune,140000,1.0,-27.972725782651658,26.2,0.5
ppo_finetune,160000,1.0,-15.66872210034098,19.4,0.4
ppo_finetune,180000,1.0,-15.679566901311384,19.4,0.4
ppo_finetune,200000,1.0,-17.745142284598064,20.8,0.6
ppo_finetune,20000,1.0,-31.37246794100751,38.4,0.7
ppo_finetune,40000,1.0,-15.956490687072378,22.6,0.3
ppo_finetune,60000,1.0,-15.321564478115132,21.5,0.6
ppo_finetune,80000,1.0,-15.077440127744703,19.6,0.7
ppo_finetune,100000,1.0,-15.897191649469036,19.4,0.6
ppo_finetune,120000,1.0,-18.872134236006367,21.5,0.5
ppo_finetune,140000,1.0,-23.520875328942886,23.9,0.4
ppo_finetune,160000,1.0,-27.93200965706716,26.3,0.5
ppo_finetune,180000,1.0,-27.98600981288151,26.2,0.5
ppo_finetune,200000,1.0,-28.009271923339572,26.2,0.4
