feature,attribution,abs_attribution
uav2_y_norm,14.765777587890625,14.765777587890625
uav1_y_norm,13.670613288879395,13.670613288879395
target_x_norm,6.955963134765625,6.955963134765625
target_y_norm,5.427424430847168,5.427424430847168
uav2_x_norm,4.2332963943481445,4.2332963943481445
uav1_x_norm,2.366924285888672,2.366924285888672
uav1_vx_norm,0.7678934335708618,0.7678934335708618
uav1_vy_norm,0.6950441002845764,0.6950441002845764
uav2_vx_norm,0.2793445885181427,0.2793445885181427
uav2_vy_norm,0.180026113986969,0.180026113986969
