feature_perturbed,delta,original_action,new_action,changed,explanation
target_x_norm,0.1,18,18,False,当 target_x_norm 增加 0.1 后，动作由 accelerate/accelerate 变为 accelerate/accelerate，动作未变，说明对该扰动不敏感。
target_y_norm,0.1,18,18,False,当 target_y_norm 增加 0.1 后，动作由 accelerate/accelerate 变为 accelerate/accelerate，动作未变，说明对该扰动不敏感。
uav1_x_norm,0.1,18,18,False,当 uav1_x_norm 增加 0.1 后，动作由 accelerate/accelerate 变为 accelerate/accelerate，动作未变，说明对该扰动不敏感。
uav2_x_norm,0.1,18,18,False,当 uav2_x_norm 增加 0.1 后，动作由 accelerate/accelerate 变为 accelerate/accelerate，动作未变，说明对该扰动不敏感。
uav1_vx_norm,0.1,18,8,True,当 uav1_vx_norm 增加 0.1 后，动作由 accelerate/accelerate 变为 turn_left/accelerate，说明策略对该特征较敏感。
uav2_vx_norm,0.1,18,18,False,当 uav2_vx_norm 增加 0.1 后，动作由 accelerate/accelerate 变为 accelerate/accelerate，动作未变，说明对该扰动不敏感。
