policy_name,explanation_source,success,episode_return,episode_length,target_absolute_score,uav_absolute_score,target_relative_score,inter_uav_coordination_score,safety_score,velocity_score,action_stability_score,task_efficiency_score,scenario_alignment_score
bc,rule_and_trajectory,False,-152.91180805319706,200,0.001,0.018,0.508,0.249,0.048,0.0,0.382,0.0,0.146
expert_v2,rule_and_trajectory,True,-73.11454199899627,115,0.001,0.027,0.707,0.309,0.288,0.0,0.228,0.606,0.234
