policy_name,scenario_name,seed,step,uav1_x,uav1_y,uav2_x,uav2_y,target_x,target_y,action,uav1_action,uav2_action,uav1_action_name,uav2_action_name,reward,cum_reward,distance_uav1_target,distance_uav2_target,mean_distance_to_target,distance_uav1_uav2,success,collision,done,truncated,near_border
bc,noisy_target,42,0,4.108602847426968,-0.7610504155958758,5.408678171596861,3.2776061481128607,-6.341518959854683,7.525683031082193,18,3,3,accelerate,accelerate,-2.5831508952605393,-2.5831508952605393,13.336978556004222,12.494530396601165,12.915754476302695,4.24275178252312,False,False,False,False,False
bc,noisy_target,42,1,3.7951848790797946,-0.5125163593437592,5.032507262935968,3.413604116764005,-6.399230936046769,8.119914386481764,18,3,3,accelerate,accelerate,-2.572093446087828,-5.155244341348368,13.358329775581094,12.362604685297185,12.86046723043914,4.116477702417951,False,False,False,False,False
bc,noisy_target,42,2,3.451767161904341,-0.2217169928898416,4.616390892600167,3.5849142633944906,-6.322557181525621,7.66859283930393,18,3,3,accelerate,accelerate,-2.423796859966112,-7.57904120131448,12.561624322458512,11.676344277202606,12.118984299830558,3.980802677277624,False,False,False,False,False
bc,noisy_target,42,3,3.062712208001812,0.09234708153431337,4.147967394010653,3.7597840033987566,-6.18143718739365,7.543312615455987,18,3,3,accelerate,accelerate,-2.287365996205587,-9.866407197520067,11.873128712857406,11.000531249198463,11.436829981027934,3.82464016537682,False,False,False,False,False
bc,noisy_target,42,4,2.6734235201185172,0.40612139132735997,3.6784716784216016,3.9317542713043596,-6.02751671940564,7.6735452231028365,18,3,3,accelerate,accelerate,-2.173901549334167,-12.040308746854233,11.336746014727016,10.402269478614652,10.869507746670834,3.6660890612317827,False,False,False,False,False
bc,noisy_target,42,5,2.2896740637832873,0.7266465147770129,3.211939427080625,4.111608819366731,-5.923664333690623,7.529073783477538,18,3,3,accelerate,accelerate,-2.0418405586100685,-14.082149305464302,10.664518009613927,9.753887576486754,10.209202793050341,3.5083533464905314,False,False,False,False,False
bc,noisy_target,42,6,1.9045962576381952,1.0455745367733293,2.7436336521199816,4.2867935822272925,-5.930479858867394,7.565447804463701,18,3,3,accelerate,accelerate,-1.946606542917084,-16.028755848381387,10.192995888264639,9.273069540906203,9.73303271458542,3.348056846881828,False,False,False,False,False
bc,noisy_target,42,7,1.52025998386778,1.3653957816340678,2.275929108725621,4.463577235567393,-5.982930609398371,7.127083676825514,18,3,3,accelerate,accelerate,-1.8137907157964464,-17.842546564177834,9.460175288041617,8.677731869922845,9.068953578982232,3.1890067650853027,False,False,False,False,False
bc,noisy_target,42,8,1.123692776347283,1.6699190975220228,1.8000639954723912,4.617045127937396,-5.923808748606809,7.391918354126578,18,3,3,accelerate,accelerate,-1.728511567256743,-19.571058131434576,9.077915687910597,8.207199984656832,8.642557836283714,3.0237443452138377,False,False,False,False,False
bc,noisy_target,42,9,0.7355253948006845,1.985079507318776,1.329509314307146,4.786096280058506,-5.68944712502747,7.6403835476433635,18,3,3,accelerate,accelerate,-1.613648259358447,-21.18470639079302,8.559365377705204,7.577117215879262,8.068241296792234,2.863304359966217,False,False,False,False,False
bc,noisy_target,42,10,0.3602071184852789,2.31543717934053,0.8663413152279523,4.974445436225918,-5.376275753720916,7.4445087586556165,18,3,3,accelerate,accelerate,-1.440863272801482,-22.625569663594504,7.69510305381629,6.713529674198528,7.2043163640074095,2.706750216643017,False,False,False,False,False
bc,noisy_target,42,11,-0.012528817088791,2.648705723208269,1.2152905223892114,5.332543817710014,-5.641267873176333,7.447517907703645,16,3,1,accelerate,turn_left,-1.4572049146257768,-24.08277457822028,7.396708845397834,7.175340300859935,7.286024573128884,2.951360236889925,False,False,False,False,False
bc,noisy_target,42,12,-0.3930182464915512,2.9730940616434878,0.7154579371707906,5.319606014423899,-5.7484610832213345,7.9372450186457,16,3,1,accelerate,turn_left,-1.4276126889597727,-25.510387267180054,7.302298453321826,6.973828436275902,7.138063444798863,2.595156603037275,False,False,False,False,False
bc,noisy_target,42,13,-0.7597139431248205,3.3129973803543256,0.25201672410849124,5.507281910679503,-6.1522802376317935,7.819437233335847,18,3,3,accelerate,accelerate,-1.3836540627403222,-26.894041329920377,7.027643373791302,6.808897253611918,6.91827031370161,2.416295417171656,False,False,False,False,False
bc,noisy_target,42,14,-1.1433821237426547,3.6336197862797395,0.5999237042014977,5.866392942538125,-5.858081271693583,8.089589044290623,16,3,1,accelerate,turn_left,-1.3317187594708333,-28.22576008939121,6.487222062179409,6.829965532528925,6.6585937973541665,2.8327356348681887,False,False,False,False,False
bc,noisy_target,42,15,-1.50676564158442,3.977061803163148,0.10017476575343076,5.8505500097278675,-5.8821978065756735,7.994228180365557,16,3,1,accelerate,turn_left,-1.2294719548365312,-29.45523204422774,5.939868039995971,6.354851508369341,6.147359774182656,2.4682413846445868,False,False,False,False,False
bc,noisy_target,42,16,-1.875076194573929,4.315214633339922,-0.37051857495251,6.019214703766309,-5.945991648415258,7.983740095100891,18,3,3,accelerate,accelerate,-1.1391454490859456,-30.594377493313683,5.480002891962072,5.911451598897384,5.695727245429728,2.2731717644678775,False,False,False,False,False
bc,noisy_target,42,17,-2.2465098903309553,4.649933933136448,-0.05296118176811204,6.405423587705984,-6.198011187656208,8.128451911260044,16,3,1,accelerate,turn_left,-1.1646493998974938,-31.75902689321118,5.264451521943403,6.3820424770315345,5.823246999487469,2.809519507698494,False,False,False,False,False
