step,uav1_x,uav1_y,uav2_x,uav2_y,target_x,target_y,action,reward,done,success,collision,near_border,distance_uav1_target,distance_uav2_target,distance_uav1_uav2
0,3.154742420107885,-4.647757546239505,-2.7959763715916535,4.549390114778777,7.680068902104668,-5.915796667301058,18,-1.950731714567506,False,False,False,False,4.699627961999113,14.807689183675945,10.954386301224732
1,3.5399070772754975,-4.755684312469924,-2.512987036962854,4.266694100504877,7.595857037118279,-6.114025117476829,18,-1.8766945850019028,False,False,False,False,4.277361315027696,14.489584534991332,10.864660113648055
2,3.9666134851529047,-4.8985886212795595,-2.1990387783118868,3.9443022723050514,7.6491126264421165,-6.043940609182562,18,-1.7883303743603571,False,False,False,False,3.8565050371792777,14.026798706424293,10.78016638043264
3,4.444053434768874,-5.047084730692233,-1.8479910584838573,3.5882608443734956,7.4123440342911415,-6.004501978567064,18,-1.6452103090579522,False,False,False,False,3.1188775015605343,13.333225589018987,10.684522315287627
4,4.919912233012325,-5.200572202931169,-1.5007256863145884,3.228529331586335,7.115121820288173,-6.025430458921771,18,-1.4988981904103569,False,False,False,False,2.345066368899536,12.643915535204032,10.595958850915945
5,5.387960731849906,-5.376443186142975,-1.160014476934316,2.8625841556342095,7.4004951388652955,-5.845773395850872,18,-1.4277915279084683,False,False,False,False,2.0665346803683806,12.211380598716302,10.524141336631924
6,5.8748953151729,-5.489998069631365,-0.8095008905876779,2.5060168747650615,7.458588558887767,-5.950563602801239,18,-1.3476182930581986,False,False,False,False,1.6493043686755238,11.826878561906462,10.421967550640206
7,6.355004770344796,-5.629622247532419,-0.4599543299209279,2.148501557714105,7.2823949057190855,-5.984928262545537,18,-1.222240034437161,False,False,False,False,0.9931237724946701,11.22927657187694,10.341318942380477
8,6.821910387277486,-5.80850529557416,-0.11521488094207422,1.7863486724325484,7.149219745564294,-5.759953558469803,18,-1.0805559611769782,False,False,False,False,0.33089074812991154,10.474668863639868,10.286180718921749
9,7.316498646599718,-5.735140087603318,0.23154713707851415,1.426131928154483,6.977114153004675,-5.895406555916635,18,-1.0330602774720847,False,False,False,False,0.3753227615778015,9.955280013143044,10.073745816524386
10,6.864375130071809,-5.948644948911996,0.5703405716690333,1.0584105544510232,7.16142334488539,-6.034387360331648,18,-0.9991641697527283,False,False,False,False,0.3091753596908911,9.68246633783639,9.418794925550635
11,7.344763048291691,-6.087308022685688,0.9107023422780482,0.6921403466700786,7.022261066625967,-6.291858289793554,18,-0.9662385156159522,False,False,False,False,0.381900955683824,9.280484200475698,9.346553234290669
12,6.922530559912265,-6.355113410527154,1.2399717312628737,0.31586694942073856,7.0025863549211715,-6.4333350258292725,18,-0.8986578909949835,False,False,False,False,0.11192654472903513,8.874652365220799,8.763187422614653
13,7.280157051477402,-6.70454622600219,1.5646387935041859,-0.0643846760795293,7.2359515777400665,-6.561544038303704,18,-0.877388130486947,False,False,False,False,0.14967882146414474,8.624202483405325,8.761215347558608
14,7.132489287578269,-6.226849427284604,1.8934409520312272,-0.44106642576745675,7.400211736759189,-6.569197121672333,18,-0.8673441670825958,False,False,False,False,0.43460010774046537,8.238841563085492,7.805313088072957
15,7.440499392054358,-6.620714601602706,2.2276366482685055,-0.8129713015307101,7.381023164919955,-6.290238996704046,18,-0.7856280566425636,False,False,False,False,0.3357849714136686,7.520495595011967,7.804089967772137
16,7.351936424384891,-6.128620504140059,2.570259448291783,-1.1771273352637914,7.619959565506882,-6.542818406445515,18,-0.7861534516480991,False,False,False,False,0.4933521120367669,7.368182404444224,6.883438043966639
17,7.623571160086617,-6.548399696526072,2.9129287688944663,-1.5412395936645424,7.467082127901842,-6.731946159239538,18,-0.7146543363545608,False,False,False,False,0.2412014120372293,6.905341951508378,6.874722105902521
18,7.299176226277893,-6.928883502908464,3.2426845862738345,-1.9170867712573303,7.710367070326404,-6.699646933907433,18,-0.701547084175676,False,False,False,False,0.47077310330634986,6.54469773845041,6.4477306786815936
19,7.735894935525109,-6.685415293498188,3.584005351769598,-2.282463474183757,7.633362458822319,-6.49930871535006,18,-0.6058769356711513,False,False,False,False,0.21248192207529926,5.8462874346362135,6.051790796029038
20,7.4946215234123015,-6.247480206290685,3.930324032840801,-2.643106470984059,7.542626005878887,-6.390316284159471,18,-0.5355521968523993,False,False,False,False,0.15068701164275117,5.204834956881242,5.0690952471878585
21,7.653906925462727,-6.72142974020082,4.277338107539011,-3.0030804033199225,7.37963634773233,-6.67599291068265,18,-0.5085767114198558,False,False,False,False,0.278008732390242,4.807758381808316,5.022682428071416
22,7.160630014028516,-6.639711390695183,4.599972690417785,-3.385058054407835,7.497307737821774,-6.7738812512216935,18,-0.48209777062009807,False,False,False,False,0.3624271529180893,4.458550553282891,4.141223764585493
23,7.625106421332012,-6.824810464324517,4.924891631313346,-3.7650944761456824,7.402503296454493,-6.908376730417466,18,-0.4240119063761853,False,False,False,False,0.2377718907565686,4.002347173005284,4.0808114193812886
24,7.15700414866804,-7.00053827181902,5.234411465306253,-4.15777433603794,7.253309538124995,-6.866313413122606,18,-0.354338492321905,False,False,False,False,0.16520000221104134,3.3781849210080086,3.431860926770462
25,7.448485347723733,-6.594288704930567,5.533225491185027,-4.558661075576827,7.153623270746825,-6.910954737892181,18,-0.32890823011083514,False,False,False,False,0.4326904446261584,2.8563918564821926,2.794995556965519
26,7.107754369447026,-6.960215474165339,5.816869658543319,-4.970420697593874,6.974781154311876,-6.907858935321064,18,-0.23999928596313447,False,False,False,False,0.14290935274897434,2.25708350688237,2.3718487704143434
27,6.642518146004317,-6.777034535209437,6.073375785196989,-5.399611339371082,7.026013490516584,-6.955678838782337,18,-0.22475808458205462,False,False,False,False,0.42306319440673207,1.824517651413814,1.4903750156584377
28,7.09575462412675,-6.988166472393686,6.334441416593155,-5.826043908605329,6.96808161017364,-6.689313148766086,18,-0.13958391416110486,False,False,False,False,0.3249826265127625,1.070856515098286,1.389289981692488
