policy_name,scenario_name,seed,step,uav1_x,uav1_y,uav2_x,uav2_y,target_x,target_y,action,uav1_action,uav2_action,uav1_action_name,uav2_action_name,reward,cum_reward,distance_uav1_target,distance_uav2_target,mean_distance_to_target,distance_uav1_uav2,success,collision,done,truncated,near_border
ppo_finetune,default,42,0,4.108602847426968,-0.7610504155958758,5.408678171596861,3.2776061481128607,-6.336478612603396,7.781596209354267,18,3,3,accelerate,accelerate,-2.607270883560753,-2.607270883560753,13.493573954495602,12.579134881111925,13.036354417803764,4.24275178252312,False,False,False,False,False
ppo_finetune,default,42,1,3.798971566781697,-0.5078144188537668,5.0351975818677195,3.42082712805495,-6.559610432998069,7.751827772091607,18,3,3,accelerate,accelerate,-2.5625751422424004,-5.169846025803153,13.248468219707751,12.377283202716251,12.812875711212001,4.118553042571235,False,False,False,False,False
ppo_finetune,default,42,2,3.447129993658029,-0.22726583585634252,4.613645976298529,3.5782890086547887,-6.63713161845852,8.007886765400768,18,3,3,accelerate,accelerate,-2.511097763351196,-7.680943789154349,13.01960332066992,12.091374312842037,12.555488816755979,3.980327525761903,False,False,False,False,False
ppo_finetune,default,42,3,3.0598577640922184,0.08899389949914954,4.148406157248027,3.761460815355098,-6.550812546410121,8.201543733363266,18,3,3,accelerate,accelerate,-2.4160839288393605,-10.09702771799371,12.576901392000329,11.583937896393275,12.080419644196802,3.8303982628831945,False,False,False,False,False
ppo_finetune,default,42,4,2.677781527229325,0.4115117272617251,3.686593481828323,3.9531090682083274,-6.584764027113723,8.037886966434133,18,3,3,accelerate,accelerate,-2.305196756900704,-12.402224474894414,11.998181088604312,11.05378648040273,11.52598378450352,3.682473799654506,False,False,False,False,False
ppo_finetune,default,42,5,2.291783621132522,0.7293255351569827,3.2219853800184977,4.137877333158429,-6.5520131549042215,7.776177320096639,18,3,3,accelerate,accelerate,-2.1737202838427594,-14.575944758737172,11.307999889226437,10.429202949201153,10.868601419213796,3.5331997780897497,False,False,False,False,False
ppo_finetune,default,42,6,1.9007420194933777,1.0409125467404132,2.7533973880822886,4.312305810802394,-6.355434451708672,7.855175959569878,18,3,3,accelerate,accelerate,-2.0478649114242313,-16.623809670161403,10.705075234815334,9.773573879426978,10.239324557121156,3.3806855910796547,False,False,False,False,False
ppo_finetune,default,42,7,1.5151222881928872,1.3591851073417593,2.2874044999042638,4.49355323331511,-6.200581807657448,7.767891540447799,18,3,3,accelerate,accelerate,-1.9127783193624923,-18.536587989523895,10.030134986153296,9.097648207471625,9.56389159681246,3.2281083258842953,False,False,False,False,False
ppo_finetune,default,42,8,1.130496153724012,1.678657698785111,1.8209110658873942,4.673508438905691,-5.918162993020506,8.003764213241118,18,3,3,accelerate,accelerate,-1.7895703077715053,-20.3261582972954,9.470510450139368,8.425192627575683,8.947851538857526,3.0734026268190697,False,False,False,False,False
ppo_finetune,default,42,9,0.7583589186797915,2.0125946363850757,1.3616293378009712,4.871145212422031,-5.75113289477625,7.820547437952298,18,3,3,accelerate,accelerate,-1.642388717014204,-21.968547014309603,8.723863789324302,7.7000233808177345,8.211943585071019,2.92151443507436,False,False,False,False,False
ppo_finetune,default,42,10,0.38527355360211035,2.345471956677182,0.8997630628039041,5.062664255914665,-5.771100292540029,7.546829697424635,18,3,3,accelerate,accelerate,-1.5177861665900085,-23.486333180899614,8.059470285365931,7.118391380534154,7.588930832950043,2.7654716498482106,False,False,False,False,False
ppo_finetune,default,42,11,0.0033394048206053517,2.6681580363189092,0.43119769467972535,5.237153498547708,-5.9785265972995,7.656659069370108,18,3,3,accelerate,accelerate,-1.4640130877855269,-24.95034626868514,7.788957788053113,6.851173089802155,7.320065438927634,2.604381001534401,False,False,False,False,False
ppo_finetune,default,42,12,-0.3806571557523144,2.988387081641422,-0.036585282626743654,5.4137295052482095,-5.8316693037548095,7.937164908830634,18,3,3,accelerate,accelerate,-1.368299079272191,-26.318645347957332,7.362332199822985,6.320658592898925,6.841495396360955,2.4496267727192618,False,False,False,False,False
ppo_finetune,default,42,13,-0.7508531751694738,3.324474729744845,-0.4950093484067458,5.613347580366001,-5.936174088871918,7.859440732451556,18,3,3,accelerate,accelerate,-1.2775175565193715,-27.596162904476703,6.888647880664654,5.88652768452906,6.387587782596857,2.3031272196739834,False,False,False,False,False
ppo_finetune,default,42,14,-1.1272202796818718,3.653637003769305,-0.9571803456455434,5.804130098724721,-5.954440602106433,7.673123547902127,18,3,3,accelerate,accelerate,-1.161691646849415,-28.75785455132612,6.281586433353718,5.335330035140433,5.808458234247075,2.157205166556487,False,False,False,False,False
ppo_finetune,default,42,15,-1.5114560435004813,3.973578995078245,-1.4254981651194192,5.979282660690666,-6.1764876989051505,7.658546503637687,18,3,3,accelerate,accelerate,-1.0983902756815405,-29.85624482700766,5.944872234545198,5.039030522270207,5.491951378407702,2.007544756937408,False,False,False,False,False
ppo_finetune,default,42,16,-1.903813647781405,4.283507229292126,-1.896917172484877,6.145908347469645,-6.34034208947462,7.760434900447193,18,3,3,accelerate,accelerate,-1.0364303797974335,-30.892675206805094,5.636648884257084,4.727654913717251,5.1821518989871675,1.8624138869650835,False,False,False,False,False
ppo_finetune,default,42,17,-2.29735673808141,4.591928752660912,-2.366856814663199,6.3166617741096704,-6.378050938151222,7.960041818081896,18,3,3,accelerate,accelerate,-0.9625935103113467,-31.85526871711644,5.291148341895447,4.334786761218019,4.812967551556733,1.7261327457413695,False,False,False,False,False
ppo_finetune,default,42,18,-2.6829719142577018,4.910206832180265,-2.8295317216937965,6.506218969710966,-6.257891876949872,7.847461802911121,18,3,3,accelerate,accelerate,-0.8308209737621939,-32.68608969087864,4.626826072237653,3.6813836653842853,4.154104868810969,1.6027272133151742,False,False,False,False,False
ppo_finetune,default,42,19,-3.069297216622401,5.227622585968295,-3.2951664485890984,6.688384556771578,-6.058535996112751,8.030320417409202,18,3,3,accelerate,accelerate,-0.716961178394244,-33.40305086927288,4.097641225775204,3.071970558167236,3.58480589197122,1.478121255274518,False,False,False,False,False
ppo_finetune,default,42,20,-3.434048376471057,5.56961175449423,-3.744937938126469,6.906800689873816,-6.126048968694647,7.903317279767348,18,3,3,accelerate,accelerate,-0.6143957938875826,-34.01744666316046,3.562730507240541,2.581227431635284,3.0719789694379127,1.3728534402651604,False,False,False,False,False
