policy_name,scenario_name,seed,step,uav1_x,uav1_y,uav2_x,uav2_y,target_x,target_y,action,uav1_action,uav2_action,uav1_action_name,uav2_action_name,reward,cum_reward,distance_uav1_target,distance_uav2_target,mean_distance_to_target,distance_uav1_uav2,success,collision,done,truncated,near_border
expert_v2,default,42,0,4.108602847426968,-0.7610504155958758,5.408678171596861,3.2776061481128607,-6.336478612603396,7.781596209354267,18,3,3,accelerate,accelerate,-2.607270883560753,-2.607270883560753,13.493573954495602,12.579134881111925,13.036354417803764,4.24275178252312,False,False,False,False,False
expert_v2,default,42,1,3.798971566781697,-0.5078144188537668,5.0351975818677195,3.42082712805495,-6.559610432998069,7.751827772091607,18,3,3,accelerate,accelerate,-2.5625751422424004,-5.169846025803153,13.248468219707751,12.377283202716251,12.812875711212001,4.118553042571235,False,False,False,False,False
expert_v2,default,42,2,3.447129993658029,-0.22726583585634252,4.613645976298529,3.5782890086547887,-6.63713161845852,8.007886765400768,18,3,3,accelerate,accelerate,-2.511097763351196,-7.680943789154349,13.01960332066992,12.091374312842037,12.555488816755979,3.980327525761903,False,False,False,False,False
expert_v2,default,42,3,3.0598577640922184,0.08899389949914954,4.148406157248027,3.761460815355098,-6.550812546410121,8.201543733363266,18,3,3,accelerate,accelerate,-2.4160839288393605,-10.09702771799371,12.576901392000329,11.583937896393275,12.080419644196802,3.8303982628831945,False,False,False,False,False
expert_v2,default,42,4,2.677781527229325,0.4115117272617251,3.686593481828323,3.9531090682083274,-6.584764027113723,8.037886966434133,18,3,3,accelerate,accelerate,-2.305196756900704,-12.402224474894414,11.998181088604312,11.05378648040273,11.52598378450352,3.682473799654506,False,False,False,False,False
expert_v2,default,42,5,2.291783621132522,0.7293255351569827,3.2219853800184977,4.137877333158429,-6.5520131549042215,7.776177320096639,18,3,3,accelerate,accelerate,-2.1737202838427594,-14.575944758737172,11.307999889226437,10.429202949201153,10.868601419213796,3.5331997780897497,False,False,False,False,False
expert_v2,default,42,6,1.9007420194933777,1.0409125467404132,2.7533973880822886,4.312305810802394,-6.355434451708672,7.855175959569878,18,3,3,accelerate,accelerate,-2.0478649114242313,-16.623809670161403,10.705075234815334,9.773573879426978,10.239324557121156,3.3806855910796547,False,False,False,False,False
expert_v2,default,42,7,1.5151222881928872,1.3591851073417593,2.2874044999042638,4.49355323331511,-6.200581807657448,7.767891540447799,18,3,3,accelerate,accelerate,-1.9127783193624923,-18.536587989523895,10.030134986153296,9.097648207471625,9.56389159681246,3.2281083258842953,False,False,False,False,False
expert_v2,default,42,8,1.130496153724012,1.678657698785111,1.8209110658873942,4.673508438905691,-5.918162993020506,8.003764213241118,18,3,3,accelerate,accelerate,-1.7895703077715053,-20.3261582972954,9.470510450139368,8.425192627575683,8.947851538857526,3.0734026268190697,False,False,False,False,False
expert_v2,default,42,9,0.7583589186797915,2.0125946363850757,1.3616293378009712,4.871145212422031,-5.75113289477625,7.820547437952298,18,3,3,accelerate,accelerate,-1.642388717014204,-21.968547014309603,8.723863789324302,7.7000233808177345,8.211943585071019,2.92151443507436,False,False,False,False,False
expert_v2,default,42,10,0.38527355360211035,2.345471956677182,0.8997630628039041,5.062664255914665,-5.771100292540029,7.546829697424635,18,3,3,accelerate,accelerate,-1.5177861665900085,-23.486333180899614,8.059470285365931,7.118391380534154,7.588930832950043,2.7654716498482106,False,False,False,False,False
expert_v2,default,42,11,0.0033394048206053517,2.6681580363189092,1.2535878116396812,5.415946079833331,-5.9785265972995,7.656659069370108,16,3,1,accelerate,turn_left,-1.5360237305113924,-25.022356911411006,7.788957788053113,7.57127951706081,7.680118652556962,3.018850809635092,False,False,False,False,False
expert_v2,default,42,12,-0.3806571557523144,2.988387081641422,0.7535884011746126,5.4167138913881345,-5.8316693037548095,7.937164908830634,16,3,1,accelerate,turn_left,-1.4413452137227205,-26.463702125133725,7.362332199822985,7.051119937404217,7.206726068613602,2.680164934914104,False,False,False,False,False
expert_v2,default,42,13,-0.7508531751694738,3.324474729744845,0.28662302805732426,5.595440890773879,-5.936174088871918,7.859440732451556,18,3,3,accelerate,accelerate,-1.3510498018018975,-27.81475192693562,6.888647880664654,6.621850137354321,6.755249009009487,2.496726692451707,False,False,False,False,False
expert_v2,default,42,14,-1.1272202796818718,3.653637003769305,0.6204603078745132,5.967667529536152,-5.954440602106433,7.673123547902127,16,3,1,accelerate,turn_left,-1.3074075094120774,-29.122159436347697,6.281586433353718,6.792488660767053,6.537037547060386,2.8998490840563105,False,False,False,False,False
expert_v2,default,42,15,-1.5114560435004813,3.973578995078245,0.12340779363494231,5.913456847119113,-6.1764876989051505,7.658546503637687,16,3,1,accelerate,turn_left,-1.248199860063413,-30.37035929641111,5.944872234545198,6.537126366088932,6.240999300317065,2.5369087186597494,False,False,False,False,False
expert_v2,default,42,16,-1.903813647781405,4.283507229292126,-0.3584473166793186,6.046932135708542,-6.34034208947462,7.760434900447193,18,3,3,accelerate,accelerate,-1.1859120804447867,-31.556271376855896,5.636648884257084,6.222471920190782,5.929560402223933,2.344744015425494,False,False,False,False,False
expert_v2,default,42,17,-2.29735673808141,4.591928752660912,-0.8391160002442174,6.184618796790824,-6.378050938151222,7.960041818081896,18,3,3,accelerate,accelerate,-1.110767025373393,-32.66703840222929,5.291148341895447,5.816521911838481,5.553835126866964,2.1594276154014755,False,False,False,False,False
expert_v2,default,42,18,-2.6829719142577018,4.910206832180265,-1.3152540619468218,6.337237754322603,-6.257891876949872,7.847461802911121,18,3,3,accelerate,accelerate,-0.9795040971720183,-33.646542499401306,4.626826072237653,5.168214899482529,4.897520485860091,1.9766308143607134,False,False,False,False,False
expert_v2,default,42,19,-3.069297216622401,5.227622585968295,-1.0245832834738093,6.744067569530255,-6.058535996112751,8.030320417409202,16,3,1,accelerate,turn_left,-0.9293324655485069,-34.57587496494981,4.097641225775204,5.195683429709865,4.6466623277425345,2.545674852879334,False,False,False,False,False
expert_v2,default,42,20,-3.434048376471057,5.56961175449423,-1.4975974398435703,6.5820255753626835,-6.126048968694647,7.903317279767348,16,3,1,accelerate,turn_left,-0.8376084361161157,-35.413483401065925,3.562730507240541,4.813353853920616,4.188042180580578,2.185137060838732,False,False,False,False,False
expert_v2,default,42,21,-3.811848575890103,5.897128180523413,-1.1910048111729794,6.187056006857897,-6.016551666309661,7.687168769932934,17,3,2,accelerate,turn_right,-0.7893227067207051,-36.20280610778663,2.8398875028140003,5.053339564393051,3.9466135336035255,2.636831466654565,False,False,False,False,False
expert_v2,default,42,22,-4.200015904390783,6.21228865565417,-1.6753838441840654,6.311059847037326,-6.196606744824597,7.391586131783537,17,3,2,accelerate,turn_right,-0.6967408724054013,-36.89954698019203,2.3188612552952144,4.648547468758798,3.483704362027006,2.5265634343255394,False,False,False,False,False
expert_v2,default,42,23,-4.630526965773718,6.466572406662643,-1.4351244034009731,6.749552037520345,-6.024452118323314,7.490496645738756,16,3,1,accelerate,turn_left,-0.6378335856979702,-37.53738056589,1.729580347447904,4.6487555095317985,3.189167928489851,3.2079081980472357,False,False,False,False,False
expert_v2,default,42,24,-5.0334932560089225,6.762576070379964,-1.856531957293786,6.480450433061962,-5.901352891147513,7.658934064351937,16,3,1,accelerate,turn_left,-0.5460656682245932,-38.08344623411459,1.2476529964939556,4.213003685751977,2.730328341122966,3.1894635863677543,False,False,False,False,False
expert_v2,default,42,25,-5.436459546244127,7.058579734097285,-1.402926161760032,6.270113127150267,-5.92600342582451,7.700178781923673,2,0,2,keep,turn_right,-0.555079916093039,-38.63852615020763,0.8070331766453835,4.743765984285006,2.7753995804651947,4.1098748343493705,False,False,False,False,False
expert_v2,default,42,26,-5.913577539300919,6.909052409833592,-1.7845670456740366,5.9470802561830265,-6.142125226947915,7.468896826045257,12,2,2,turn_right,turn_right,-0.5220349641956623,-39.16056111440329,0.6046981196367068,4.615651522319916,2.6101748209783113,4.239589376446736,False,False,False,False,False
expert_v2,default,42,27,-5.628208831861538,6.49848609263943,-1.2914368440371726,5.864481199084375,-6.041083449873632,7.451554549731137,12,2,2,turn_right,turn_right,-0.6046443753188752,-39.76520548972217,1.038655349045967,5.007788404142785,3.0232218765943757,4.382870461173801,False,False,False,False,False
expert_v2,default,42,28,-5.342840124422157,6.087919775445268,-1.7656628119222402,6.022941703259614,-6.0019417859849185,7.610553864180752,3,0,3,keep,accelerate,-0.6183164871848035,-40.38352197690698,1.6591653228217285,4.523999549026306,3.091582435924017,3.577767414873288,False,False,False,False,False
expert_v2,default,42,29,-5.541464593152564,6.546775221551734,-2.233863452545032,6.198407255777501,-5.921110793984564,7.64270150457555,18,3,3,accelerate,accelerate,-0.5119843969531658,-40.895506373860144,1.159821389537445,3.960022579994212,2.5599219847658286,3.3258962017666645,False,False,False,False,False
expert_v2,default,42,30,-5.740089061882971,7.005630667658199,-2.699422330929625,6.380766600910346,-5.885586497537316,7.525071563413118,3,0,3,keep,accelerate,-0.3924854446328455,-41.28799181849299,0.539433358223852,3.3854210881046027,1.9624272231642275,3.104208316244123,False,False,False,False,False
expert_v2,default,42,31,-5.918851083740337,7.418600569154018,-2.35982628219764,6.747746877881226,-6.167095796796553,7.487101996952535,21,4,1,decelerate,turn_left,-0.41359175068408177,-41.701583569177075,0.2575225876904747,3.8783949191503426,2.0679587534204087,3.621698802094173,False,False,False,False,False
