step,uav1_x,uav1_y,uav2_x,uav2_y,target_x,target_y,action,reward,done,success,collision,near_border,distance_uav1_target,distance_uav2_target,distance_uav1_uav2
0,3.127429307574917,-1.7392129152832752,-4.656557876994604,-3.2363337056408326,5.357218209730645,6.66072726880594,18,-2.277018439200677,False,False,False,False,8.69085459805039,14.079329793956378,7.926652960137928
1,3.2300562185190227,-1.3526023655693926,-4.37206205984218,-2.9551538165613076,5.474359680632424,6.402393051099547,18,-2.1656873974453656,False,False,False,False,8.07321818995439,13.583655784499266,7.769193875253069
2,3.3551533649342784,-0.9203400563649466,-4.045869328407554,-2.6451565553488607,5.269245569927849,6.617317498493491,18,-2.0913282654120815,False,False,False,False,7.7768907915394845,13.136391862581327,7.599350555312469
3,3.478216183758732,-0.43572108993567077,-3.691315543936901,-2.292606397332249,5.113535289031972,6.34219759655799,18,-1.9304690736163899,False,False,False,False,6.972406349087208,12.33228438707669,7.40609264317289
4,3.595486966856975,0.05033195596726853,-3.3343317704279274,-1.9425170009614166,4.892290715077284,6.545945459568829,18,-1.844459760034254,False,False,False,False,6.623797607835643,11.820799992506899,7.210675051391282
5,3.6933767141740015,0.5406559278167067,-2.9863594466122807,-1.5834692856667238,5.169271947957777,6.748591922844308,18,-1.804019341049363,False,False,False,False,6.380966702582375,11.659226707911252,7.009335425007986
6,3.809024961733927,1.0270975819092794,-2.636609347446779,-1.2261530837758474,4.894817039912901,7.0285556005813765,18,-1.7273082085402844,False,False,False,False,6.098888651788934,11.174193433613912,6.828128602340315
7,3.8980405299932763,1.5191100091989416,-2.2996084519412543,-0.8567882283436142,4.959333166736206,6.805177962965247,18,-1.5946077349418584,False,False,False,False,5.391554179699936,10.554523169718648,6.637450213631131
8,3.9964623023960155,2.0093274657599083,-1.955730215949331,-0.4938174873587751,4.6642376993066055,7.0193368819773685,18,-1.5067880791370436,False,False,False,False,5.054316801636668,10.013563989733766,6.457114714155995
9,4.062522209512874,2.5049443426635425,-1.6251801779187685,-0.11866862042993359,4.49029052143029,7.251018241541877,18,-1.4341912430925623,False,False,False,False,4.765312495765086,9.576599935160536,6.263649369824889
10,4.107405762511505,3.002925734555066,-1.3058878016706976,0.2661071304560342,4.64952781579039,6.9585501764661455,18,-1.2951159214821892,False,False,False,False,3.992600787218233,8.958558427603657,6.065799476059115
11,4.175296603866645,3.4982951256765715,-0.9735008632146791,0.6396294499281574,4.871059428081113,6.963295601373438,18,-1.214506617216255,False,False,False,False,3.534163862095022,8.610902310067528,5.8891497521055785
12,4.273730469890337,3.988510154025999,-0.6341310689213121,1.0068189687345606,4.626432388551397,7.049159641470313,18,-1.109235956826144,False,False,False,False,3.0809047256317967,8.011454842629643,5.742611532098555
13,4.330970461073241,4.485222931604129,-0.30581595257809835,1.383925299071963,4.666737573542824,7.083441874304694,18,-1.0183605308625017,False,False,False,False,2.6198246559692127,7.563780652655804,5.57833624402216
14,4.395052442992249,4.981099427914785,0.022892252648275657,1.7606890391224832,4.628288859324224,7.108832983463059,18,-0.919826322201696,False,False,False,False,2.1404787570329873,7.057784464983973,5.43017751111969
15,4.449534744104938,5.478122243151134,0.3491558718849398,2.139571673671222,4.753507357122063,7.205082205465553,18,-0.846601185584523,False,False,False,False,1.7535079300936962,6.712503925751533,5.287629601316906
16,4.536210318192842,5.970552283721906,0.677226554148564,2.5168906732446334,4.821989783710362,7.148209469041152,18,-0.7426992899863071,False,False,False,False,1.2118359414729076,6.215156958390163,5.178757979558594
17,4.654122098053973,6.456450227913874,1.010666502432297,2.8894732827268013,5.072950483135415,7.155640537329459,18,-0.6705905094759212,False,False,False,False,0.8150363825809193,5.890868712178293,5.098832533508332
18,4.911060557509714,6.885382189945745,1.3554614876188695,3.2515732940360955,5.344453169389843,7.311780253012604,18,-0.6299849637703306,False,False,False,False,0.6079839341787326,5.691865703524574,5.083979921065851
19,5.267478373438977,7.236047757813784,1.7058731003964576,3.608240788532874,5.121079322269504,7.608357908208911,18,-0.5659771426117745,False,False,False,False,0.4000594084265029,5.259712017691242,5.083897670815909
20,5.084506734620028,7.701366336196282,2.0305302499120463,3.98850087750937,5.123055596278551,7.463834110647379,18,-0.489269904841809,False,False,False,False,0.2406399237644968,4.652059124653593,4.807508947829394
21,5.164603297682957,7.207823490451855,2.3629126706316868,4.3620272171382535,5.250669371685446,7.655294295604191,18,-0.4835712159987082,False,False,False,False,0.45567256945956464,4.380039590527518,3.9934980654699865
22,5.259041804377101,7.69882386565882,2.692562282395352,4.73796754945718,5.477296006260632,7.397364310875119,18,-0.42227746714893466,False,False,False,False,0.3721730240227044,3.8506016474666414,3.9183526209292103
23,5.5522578461048,7.293824664581164,3.0541595052212176,5.083289788017949,5.550301315742836,7.628119786817279,18,-0.3898972454020224,False,False,False,False,0.3343008476835141,3.5646716063367094,3.3357097837233467
24,5.549331544278882,7.793816101265458,3.404281772597036,5.440241322385875,5.690650267742289,7.894505038537239,18,-0.3527754981950216,False,False,False,False,0.1735201535564318,3.3542348283937837,3.184423458456871
25,5.956542812154599,8.083952247436615,3.745099963945927,5.806086864173213,5.5896576863900345,7.789317528140773,18,-0.3178977560877641,False,False,False,False,0.4705468237293926,2.7084307371482486,3.1747677356246102
26,5.566693059417179,7.770875307547118,4.085621450640151,6.172208588603157,5.391023664388793,7.630976519825657,18,-0.21821390015247624,False,False,False,False,0.2245693816074962,1.957569619917266,2.179290799453901
27,5.175568067731043,7.459392979190403,4.419045662087561,6.544805281047779,5.537137034286974,7.51406353036366,18,-0.18454050849714113,False,False,False,False,0.3656788026969998,1.4797262822744115,1.1869274652793338
28,5.669948605909961,7.534145126115579,4.796849106411349,6.872317963942781,5.566564085484001,7.22150934364326,18,-0.11745056979830348,False,False,False,False,0.3292863367128752,0.8452193612701596,1.0955902192947988
29,5.512965899828069,7.059427915566808,5.252183552321318,7.078886457106337,5.278935378119181,7.243580291417044,18,0.953535173832704,True,True,True,False,0.29779587408596037,0.1668523875869984,0.26150729934358913

# meta: {"policy_name": "ppo_baseline", "scenario_name": "default", "case_id": "3", "seed": 31943, "max_steps": 200, "total_reward": -29.411134874777, "episode_length": 30, "final_success": true, "had_collision": true, "arena_size": 10.0, "success_distance": 0.8, "collision_distance": 0.5}
