step,uav1_x,uav1_y,uav2_x,uav2_y,target_x,target_y,action,reward,done,success,collision,near_border,distance_uav1_target,distance_uav2_target,distance_uav1_uav2
0,-5.987458654995813,-4.5470514745247135,-0.9283409012450285,-2.5363686255654425,0.3552857990852525,-2.9151099093973385,18,-0.7887659373446404,False,False,False,False,6.549323665980061,1.3383357074663433,5.444035081207262
1,-5.600075482163605,-4.447380629206479,-0.5446922566877177,-2.6495663178093136,0.5718753278389785,-2.636674179767228,18,-0.7548720573302508,False,False,False,False,6.43207856350748,1.116642009795027,5.365541524831157
2,-5.168274496358073,-4.320700288753153,-0.09472224962229747,-2.644370863878646,0.7056695126070065,-2.8744459276223293,18,-0.6882172783125824,False,False,False,False,6.049369380154156,0.8328034029716681,5.343314770913065
3,-4.682773972267462,-4.201162674975139,0.38581839140611895,-2.782503743092824,0.8788894741347085,-3.145176075452531,18,-0.6273112198981013,False,False,False,False,5.661025347886846,0.6120868510941675,5.263385005307859
4,-4.191549935576102,-4.107894535845821,0.7885970835534628,-3.078762625072884,1.1265577515511884,-2.906179736604928,18,-0.5831667409230249,False,False,False,False,5.452191103638698,0.3794763055915505,5.085368897328516
5,-3.703846222881762,-3.9976897781256735,1.233895858493959,-2.851366492659658,0.870938693828234,-2.942276976216689,18,-0.5069118995541766,False,False,False,False,4.694949756556577,0.37416923898518895,5.069058486246754
6,-3.2166434673761004,-3.885291045803237,0.7488784828671877,-2.972849599880866,1.0173148873579416,-2.8830609684246644,18,-0.4634016732134126,False,False,False,False,4.350961787653905,0.28305494448022145,4.069141645371691
7,-2.730089164974717,-3.770117651242239,1.2230556871970542,-2.8142432352736657,0.9185595883762654,-2.8186087155271204,18,-0.4075204648062196,False,False,False,False,3.770677257479801,0.3045273905823955,4.067068984091054
8,-2.246270409854102,-3.643945498238739,0.7231070647784712,-2.821410866804455,0.6629823430049442,-2.944791197540449,18,-0.3129334734106437,False,False,False,False,2.992084276253404,0.13725045785303316,3.081195515828889
9,-1.7601121863126978,-3.527111506254103,0.5040742006480354,-3.270882339125912,0.4507108075471151,-3.1061632271521504,18,-0.24236886603686011,False,False,False,False,2.2505412157652573,0.17314744460334372,2.278638492825377
10,-1.2689363352834464,-3.433589939940816,0.3499760757142015,-2.7952209386613838,0.3159872070660016,-2.928910552692233,18,-0.1801277761983609,False,False,False,False,1.6633351793932354,0.13794258259037354,1.740227679436434
11,-0.7925069415013679,-3.28188287767791,0.22677674157844985,-3.279805218295492,0.5034813732484007,-3.0703058120173154,18,-0.16602122260905458,False,False,False,False,1.3131452953430145,0.3470669307475312,1.019285800578654
12,-0.29903972224318376,-3.2013216989527,0.6254096955651199,-2.9779910900710806,0.24846085568704118,-3.237849748388845,18,1.8993442801880351,True,True,False,False,0.5487177609933359,0.4578394371263118,0.9510432623963783

# meta: {"policy_name": "ppo_baseline", "scenario_name": "default", "case_id": "4", "seed": 41916, "max_steps": 200, "total_reward": -3.8222743294492934, "episode_length": 13, "final_success": true, "had_collision": false, "arena_size": 10.0, "success_distance": 0.8, "collision_distance": 0.5}
