step,uav1_x,uav1_y,uav2_x,uav2_y,target_x,target_y,action,reward,done,success,collision,near_border,distance_uav1_target,distance_uav2_target,distance_uav1_uav2
0,2.616514473693163,-1.1162539648355736,6.60027133460183,-4.528460554187857,2.1640628462769724,3.411776271959799,18,-1.364603438916823,False,False,False,False,4.550579117044853,9.095455272123376,5.245328639394868
1,2.576743568427812,-0.7182360317039438,6.405175724515268,-4.179264759647098,2.2293684286893614,3.117987808977799,18,-1.2259491055402734,False,False,False,False,3.8519193713684206,8.40757168403431,5.160970124832371
2,2.5361615110659077,-0.2700696601182623,6.181673225370357,-3.7886925731361036,2.405242888363143,3.3274752803784455,18,-1.1656058798222404,False,False,False,False,3.5999262887820147,8.056132509440388,5.066602694424058
3,2.5179779967102487,0.22959959029212423,5.947290887903719,-3.347031028643406,2.321912032660088,3.402416177117887,18,-1.084035753838373,False,False,False,False,3.1788688170315558,7.661488721352173,4.955045256101388
4,2.4871390449737554,0.7286476431445467,5.710693342237438,-2.9065521967062833,2.221677768632915,3.1264950008510723,18,-0.938177872562076,False,False,False,False,2.4124969720388614,6.969281753581897,4.85859858221058
5,2.432121094813078,1.22561144983485,5.460379486594328,-2.473720851176549,2.521389573621366,3.2876342532754337,18,-0.8531633399978689,False,False,False,False,2.0639541911626114,6.467679208816076,4.780733035916129
6,2.453746690766349,1.7251435645178461,5.23317357408039,-2.0283249898142,2.5194575782677386,3.5729218307510067,18,-0.8072949876765242,False,False,False,False,1.8489463058455333,6.224003570919709,4.670518171257693
7,2.471516511148272,2.2248276982299284,5.0151695221151975,-1.578353620361923,2.349148598385044,3.31198637229776,18,-0.6663861487144574,False,False,False,False,1.094023714859488,5.569837772285086,4.575408045441102
8,2.4155908894724454,2.7216901790434553,4.7758428996239655,-1.139351606964559,2.5174946998462513,3.4247896877774893,18,-0.5802746150412694,False,False,False,False,0.7104458499778434,5.09230030043485,4.525310290435812
9,2.4873091002108034,3.2165199459820344,4.554101440308922,-0.691210194884806,2.5646760381220663,3.4432178850822273,18,-0.4827706763978893,False,False,False,False,0.23953621578800974,4.588170548190883,4.420631790923943
10,2.648802295836247,3.68972175046579,4.337302023058479,-0.24065718725987795,2.550976978231005,3.166984911723621,18,-0.43792759554909877,False,False,False,False,0.5318116164044586,3.847464339086529,4.277722515889396
11,2.5568286395755657,3.198253698041177,4.1051588649426085,0.20218539666807944,2.685599106039547,2.9550466312229515,18,-0.33725141849462104,False,False,False,False,0.2751935871049255,3.0973205978412848,3.3724993333250395
12,2.7907920611412074,2.7563700964340367,3.87599954577293,0.6465793732673233,2.8857537174349117,3.1449739060562445,18,-0.3087520767315608,False,False,False,False,0.4000382944405907,2.6874824728750175,2.372528646878902
13,2.9094827685227314,3.2420783586463173,3.691766562240451,1.1113999921932929,2.78352385076511,3.2727802078960084,18,-0.24741016475282707,False,False,False,False,0.12964664480819374,2.344455002720077,2.269748496019838
14,2.423704991766643,3.360484235231527,3.49806638236462,1.5723557821732765,2.5298086626979615,3.038253145802235,18,-0.20960595097658735,False,False,False,False,0.3392504443326348,1.7568090654332384,2.0860622623124443
15,2.580084552506855,2.885567997371946,3.222493544451275,1.989560301569202,2.7832454407666547,3.1508738154269613,18,-0.1575764944869953,False,False,False,False,0.33415793214040523,1.2416070127295475,1.1025058294035401
16,2.884073877193058,3.2825446849454436,3.045606615180886,2.457225795542504,2.642856558965621,2.8620287695845414,18,1.8944183905492817,True,True,False,False,0.4847880255169821,0.5710280689902008,0.8409780583624913

# meta: {"policy_name": "ppo_baseline", "scenario_name": "default", "case_id": "1", "seed": 11997, "max_steps": 200, "total_reward": -8.9723671289502, "episode_length": 17, "final_success": true, "had_collision": false, "arena_size": 10.0, "success_distance": 0.8, "collision_distance": 0.5}
